role,industry,company_size,lead_source,seniority,growth_rate,lead_score,timing_segment,day_of_week,send_hour,timezone_region,email_replied
HR Director,SaaS,small,ColdList,mid,0.223,0.232,HR Director|ColdList|Asia,Saturday,3,Asia,0
CTO,SaaS,small,Referral,mid,0.505,0.449,CTO|Referral|US,Monday,17,US,0
VP Sales,Ecommerce,large,LinkedIn,mid,0.698,0.413,VP Sales|LinkedIn|US,Wednesday,8,US,1
VP Sales,SaaS,large,ColdList,senior,0.807,0.436,VP Sales|ColdList|Asia,Saturday,14,Asia,1
Marketing Manager,Ecommerce,large,Inbound,mid,0.705,0.429,Marketing Manager|Inbound|US,Monday,21,US,0
CTO,Healthcare,large,Conference,senior,0.163,0.297,CTO|Conference|Asia,Wednesday,6,Asia,0
Founder,Fintech,medium,Referral,executive,0.379,0.434,Founder|Referral|Asia,Saturday,22,Asia,0
CTO,Fintech,small,ColdList,executive,0.268,0.33,CTO|ColdList|Asia,Tuesday,18,Asia,0
HR Director,Healthcare,medium,ColdList,mid,0.247,0.239,HR Director|ColdList|Europe,Friday,17,Europe,0
Marketing Manager,Fintech,medium,Inbound,executive,0.091,0.306,Marketing Manager|Inbound|US,Monday,3,US,0
CTO,Healthcare,enterprise,Inbound,executive,0.529,0.476,CTO|Inbound|Asia,Friday,0,Asia,0
Marketing Manager,AI,small,ColdList,executive,0.158,0.235,Marketing Manager|ColdList|Asia,Monday,23,Asia,0
CTO,AI,medium,Referral,senior,0.763,0.542,CTO|Referral|US,Friday,16,US,0
Marketing Manager,AI,medium,LinkedIn,mid,0.878,0.425,Marketing Manager|LinkedIn|Asia,Monday,2,Asia,0
CEO,Fintech,enterprise,Inbound,mid,0.265,0.361,CEO|Inbound|Europe,Sunday,19,Europe,0
HR Director,Fintech,large,Conference,senior,0.438,0.312,HR Director|Conference|US,Friday,14,US,1
Founder,Fintech,medium,LinkedIn,junior,0.708,0.471,Founder|LinkedIn|US,Monday,7,US,1
CEO,AI,enterprise,Referral,mid,0.723,0.452,CEO|Referral|Europe,Friday,18,Europe,0
CTO,SaaS,enterprise,ColdList,executive,0.411,0.379,CTO|ColdList|US,Sunday,23,US,0
VP Sales,AI,small,Referral,mid,0.19,0.318,VP Sales|Referral|Europe,Thursday,4,Europe,0
CTO,Healthcare,small,LinkedIn,junior,0.969,0.504,CTO|LinkedIn|US,Sunday,7,US,0
CTO,Fintech,enterprise,LinkedIn,executive,0.265,0.348,CTO|LinkedIn|Europe,Sunday,14,Europe,0
Founder,Healthcare,medium,Referral,senior,0.218,0.384,Founder|Referral|Asia,Monday,18,Asia,1
Founder,Healthcare,medium,LinkedIn,junior,0.851,0.492,Founder|LinkedIn|US,Monday,19,US,0
Founder,Fintech,small,Inbound,junior,0.419,0.373,Founder|Inbound|Asia,Friday,18,Asia,0
Marketing Manager,Fintech,large,Conference,mid,0.672,0.402,Marketing Manager|Conference|Europe,Wednesday,14,Europe,1
Founder,Ecommerce,small,LinkedIn,mid,0.506,0.412,Founder|LinkedIn|US,Tuesday,11,US,1
Founder,AI,small,Inbound,senior,0.932,0.53,Founder|Inbound|Europe,Monday,4,Europe,0
Marketing Manager,AI,medium,ColdList,mid,0.687,0.341,Marketing Manager|ColdList|Asia,Sunday,8,Asia,0
CTO,Healthcare,large,LinkedIn,junior,0.334,0.306,CTO|LinkedIn|Europe,Tuesday,20,Europe,0
Founder,SaaS,small,LinkedIn,mid,0.546,0.397,Founder|LinkedIn|Asia,Sunday,11,Asia,1
Marketing Manager,SaaS,large,Referral,mid,0.667,0.455,Marketing Manager|Referral|Europe,Wednesday,17,Europe,0
CEO,Fintech,medium,Conference,junior,0.179,0.319,CEO|Conference|Asia,Wednesday,13,Asia,1
HR Director,SaaS,enterprise,LinkedIn,executive,0.222,0.267,HR Director|LinkedIn|Europe,Sunday,14,Europe,0
CTO,Fintech,enterprise,ColdList,senior,0.864,0.473,CTO|ColdList|Europe,Sunday,8,Europe,0
Founder,AI,small,LinkedIn,senior,0.179,0.328,Founder|LinkedIn|US,Wednesday,1,US,0
VP Sales,Ecommerce,small,Conference,mid,0.255,0.313,VP Sales|Conference|US,Saturday,13,US,0
HR Director,Fintech,large,Conference,junior,0.949,0.459,HR Director|Conference|Europe,Wednesday,19,Europe,0
Founder,AI,enterprise,ColdList,executive,0.697,0.439,Founder|ColdList|US,Friday,4,US,0
CEO,Ecommerce,large,Conference,junior,0.304,0.334,CEO|Conference|Asia,Tuesday,13,Asia,0
HR Director,Fintech,enterprise,Referral,junior,0.284,0.276,HR Director|Referral|Asia,Saturday,20,Asia,0
HR Director,AI,medium,Referral,mid,0.024,0.265,HR Director|Referral|Asia,Tuesday,15,Asia,0
HR Director,Ecommerce,medium,Conference,executive,0.4,0.312,HR Director|Conference|Asia,Tuesday,20,Asia,0
CTO,Healthcare,medium,Referral,executive,0.05,0.335,CTO|Referral|Europe,Tuesday,3,Europe,0
Founder,Ecommerce,large,Conference,executive,0.831,0.552,Founder|Conference|US,Friday,14,US,0
CEO,AI,enterprise,Referral,senior,0.44,0.405,CEO|Referral|US,Saturday,9,US,0
CEO,Fintech,medium,Conference,mid,0.706,0.424,CEO|Conference|Europe,Monday,13,Europe,1
VP Sales,Healthcare,small,Inbound,executive,0.477,0.492,VP Sales|Inbound|Europe,Wednesday,9,Europe,0
HR Director,Ecommerce,medium,Conference,mid,0.273,0.243,HR Director|Conference|Europe,Thursday,0,Europe,0
CEO,Healthcare,medium,Inbound,junior,0.907,0.486,CEO|Inbound|Asia,Friday,18,Asia,1
VP Sales,Fintech,small,ColdList,executive,0.327,0.382,VP Sales|ColdList|Europe,Thursday,10,Europe,0
VP Sales,AI,small,Conference,junior,0.749,0.462,VP Sales|Conference|US,Monday,11,US,0
CTO,Fintech,medium,LinkedIn,mid,0.239,0.312,CTO|LinkedIn|US,Thursday,21,US,0
Marketing Manager,Fintech,small,Referral,senior,0.108,0.304,Marketing Manager|Referral|Asia,Monday,9,Asia,0
HR Director,Fintech,small,Inbound,mid,0.102,0.247,HR Director|Inbound|Asia,Sunday,9,Asia,0
CTO,AI,enterprise,ColdList,junior,0.506,0.357,CTO|ColdList|Europe,Wednesday,0,Europe,0
HR Director,Healthcare,medium,Conference,mid,0.734,0.41,HR Director|Conference|Asia,Saturday,8,Asia,0
VP Sales,Ecommerce,large,ColdList,mid,0.831,0.422,VP Sales|ColdList|Europe,Monday,8,Europe,0
VP Sales,AI,small,Conference,senior,0.182,0.308,VP Sales|Conference|Europe,Tuesday,11,Europe,0
Marketing Manager,Ecommerce,small,Inbound,mid,0.086,0.238,Marketing Manager|Inbound|Europe,Saturday,13,Europe,0
HR Director,Healthcare,enterprise,LinkedIn,junior,0.294,0.227,HR Director|LinkedIn|US,Thursday,22,US,0
Founder,AI,enterprise,Inbound,senior,0.352,0.359,Founder|Inbound|Europe,Thursday,8,Europe,1
CTO,Ecommerce,medium,Referral,mid,0.739,0.535,CTO|Referral|Asia,Wednesday,23,Asia,0
CTO,Fintech,large,Referral,senior,0.179,0.34,CTO|Referral|Asia,Monday,22,Asia,0
Marketing Manager,Fintech,enterprise,LinkedIn,junior,0.574,0.308,Marketing Manager|LinkedIn|Europe,Thursday,15,Europe,1
VP Sales,SaaS,small,Conference,executive,0.074,0.293,VP Sales|Conference|US,Saturday,21,US,0
CTO,Fintech,small,Inbound,executive,0.606,0.522,CTO|Inbound|US,Sunday,19,US,0
Marketing Manager,Ecommerce,enterprise,ColdList,junior,0.61,0.311,Marketing Manager|ColdList|US,Saturday,3,US,0
CEO,Fintech,small,Referral,junior,0.409,0.388,CEO|Referral|Europe,Saturday,19,Europe,0
HR Director,Healthcare,small,Referral,senior,0.788,0.505,HR Director|Referral|Asia,Saturday,18,Asia,0
CEO,Fintech,large,Referral,junior,0.06,0.327,CEO|Referral|Asia,Sunday,9,Asia,0
CTO,Healthcare,large,Conference,senior,0.5,0.418,CTO|Conference|US,Thursday,14,US,0
Founder,AI,small,LinkedIn,mid,0.962,0.545,Founder|LinkedIn|Asia,Sunday,18,Asia,0
Marketing Manager,Ecommerce,small,Referral,executive,0.519,0.475,Marketing Manager|Referral|US,Thursday,8,US,0
CTO,Healthcare,large,Conference,senior,0.321,0.353,CTO|Conference|Europe,Monday,5,Europe,0
VP Sales,Ecommerce,small,Conference,junior,0.315,0.357,VP Sales|Conference|Europe,Wednesday,3,Europe,1
Founder,Healthcare,enterprise,LinkedIn,mid,0.518,0.36,Founder|LinkedIn|Asia,Friday,15,Asia,0
CEO,AI,enterprise,Conference,junior,0.029,0.245,CEO|Conference|US,Saturday,19,US,0
VP Sales,SaaS,medium,LinkedIn,executive,0.947,0.6,VP Sales|LinkedIn|Europe,Saturday,4,Europe,0
VP Sales,Healthcare,enterprise,Referral,executive,0.551,0.485,VP Sales|Referral|Asia,Thursday,6,Asia,0
Marketing Manager,Healthcare,large,Inbound,senior,0.821,0.497,Marketing Manager|Inbound|Europe,Wednesday,23,Europe,0
CEO,Healthcare,enterprise,ColdList,senior,0.552,0.409,CEO|ColdList|Europe,Friday,12,Europe,0
CEO,Ecommerce,enterprise,Referral,executive,0.044,0.375,CEO|Referral|Asia,Saturday,15,Asia,0
HR Director,Fintech,enterprise,LinkedIn,mid,0.502,0.33,HR Director|LinkedIn|US,Friday,10,US,0
VP Sales,SaaS,medium,Conference,mid,0.075,0.271,VP Sales|Conference|Europe,Sunday,8,Europe,0
Marketing Manager,Ecommerce,enterprise,ColdList,executive,0.872,0.413,Marketing Manager|ColdList|US,Monday,19,US,0
CEO,SaaS,enterprise,LinkedIn,junior,0.444,0.308,CEO|LinkedIn|US,Saturday,9,US,0
Marketing Manager,Healthcare,medium,Referral,executive,0.566,0.422,Marketing Manager|Referral|US,Sunday,5,US,0
HR Director,Fintech,enterprise,Inbound,mid,0.232,0.235,HR Director|Inbound|Europe,Saturday,8,Europe,0
Marketing Manager,Ecommerce,medium,LinkedIn,executive,0.945,0.542,Marketing Manager|LinkedIn|Asia,Friday,9,Asia,0
Marketing Manager,Fintech,enterprise,Conference,junior,0.237,0.21,Marketing Manager|Conference|Asia,Friday,11,Asia,1
HR Director,Healthcare,large,LinkedIn,junior,0.911,0.457,HR Director|LinkedIn|Europe,Saturday,15,Europe,0
CEO,Fintech,large,Referral,junior,0.903,0.566,CEO|Referral|Europe,Saturday,1,Europe,0
CEO,SaaS,large,ColdList,executive,0.176,0.322,CEO|ColdList|Europe,Tuesday,17,Europe,0
Marketing Manager,Healthcare,large,ColdList,junior,0.468,0.31,Marketing Manager|ColdList|US,Monday,4,US,0
Founder,AI,small,Conference,junior,0.264,0.328,Founder|Conference|Europe,Monday,14,Europe,0
HR Director,AI,small,Referral,executive,0.025,0.275,HR Director|Referral|Asia,Friday,10,Asia,0
HR Director,AI,enterprise,LinkedIn,mid,0.045,0.142,HR Director|LinkedIn|Europe,Monday,9,Europe,0
VP Sales,Healthcare,large,Inbound,executive,0.587,0.507,VP Sales|Inbound|Europe,Saturday,4,Europe,0
Marketing Manager,SaaS,large,Referral,executive,0.445,0.453,Marketing Manager|Referral|US,Tuesday,11,US,0
HR Director,AI,small,Conference,senior,0.19,0.276,HR Director|Conference|US,Monday,14,US,0
CTO,SaaS,large,Referral,mid,0.787,0.487,CTO|Referral|Asia,Tuesday,2,Asia,0
Marketing Manager,Fintech,small,ColdList,mid,0.988,0.395,Marketing Manager|ColdList|US,Friday,8,US,0
Marketing Manager,Fintech,large,LinkedIn,mid,0.265,0.256,Marketing Manager|LinkedIn|Europe,Tuesday,23,Europe,0
Marketing Manager,Ecommerce,small,Conference,mid,0.945,0.446,Marketing Manager|Conference|Asia,Monday,23,Asia,0
CTO,Healthcare,enterprise,Conference,junior,0.49,0.343,CTO|Conference|US,Thursday,2,US,0
Founder,Ecommerce,large,Conference,senior,0.454,0.421,Founder|Conference|US,Friday,13,US,0
Founder,Fintech,enterprise,Conference,mid,0.414,0.329,Founder|Conference|Europe,Sunday,14,Europe,0
HR Director,AI,large,Referral,executive,0.067,0.303,HR Director|Referral|US,Sunday,2,US,0
CEO,Ecommerce,small,Inbound,senior,0.67,0.523,CEO|Inbound|Asia,Thursday,11,Asia,0
CTO,AI,large,ColdList,junior,0.578,0.37,CTO|ColdList|Asia,Tuesday,4,Asia,0
Founder,AI,small,ColdList,mid,0.807,0.445,Founder|ColdList|Asia,Sunday,17,Asia,0
HR Director,AI,small,Referral,senior,0.703,0.417,HR Director|Referral|Europe,Wednesday,10,Europe,0
VP Sales,SaaS,medium,LinkedIn,junior,0.746,0.445,VP Sales|LinkedIn|Europe,Tuesday,12,Europe,1
Marketing Manager,Ecommerce,small,LinkedIn,mid,0.157,0.19,Marketing Manager|LinkedIn|Asia,Friday,1,Asia,0
Founder,Healthcare,enterprise,ColdList,mid,0.755,0.37,Founder|ColdList|Europe,Monday,11,Europe,0
Founder,AI,small,Referral,executive,0.984,0.61,Founder|Referral|US,Monday,0,US,0
Marketing Manager,AI,large,LinkedIn,junior,0.497,0.31,Marketing Manager|LinkedIn|US,Thursday,5,US,0
HR Director,AI,small,Conference,junior,0.436,0.308,HR Director|Conference|Europe,Thursday,2,Europe,0
VP Sales,AI,small,Conference,junior,0.966,0.537,VP Sales|Conference|Europe,Tuesday,19,Europe,0
CTO,Fintech,enterprise,Inbound,executive,0.524,0.444,CTO|Inbound|Asia,Thursday,9,Asia,1
Founder,SaaS,medium,ColdList,senior,0.727,0.422,Founder|ColdList|US,Sunday,20,US,0
Founder,Fintech,small,Referral,executive,0.464,0.494,Founder|Referral|Europe,Friday,18,Europe,0
Founder,AI,large,Referral,executive,0.068,0.393,Founder|Referral|Europe,Thursday,20,Europe,0
CTO,AI,enterprise,Conference,junior,0.057,0.248,CTO|Conference|US,Sunday,9,US,1
Founder,Ecommerce,enterprise,Conference,junior,0.45,0.321,Founder|Conference|Asia,Sunday,18,Asia,0
CTO,Healthcare,small,ColdList,junior,0.505,0.368,CTO|ColdList|US,Tuesday,1,US,0
Founder,Fintech,large,ColdList,senior,0.387,0.356,Founder|ColdList|Asia,Sunday,10,Asia,0
CTO,AI,small,Inbound,executive,0.284,0.439,CTO|Inbound|Asia,Saturday,21,Asia,0
CEO,AI,large,Conference,mid,0.595,0.397,CEO|Conference|Asia,Monday,9,Asia,0
HR Director,Ecommerce,small,Conference,senior,0.018,0.202,HR Director|Conference|US,Wednesday,5,US,0
CEO,Fintech,small,ColdList,junior,0.508,0.315,CEO|ColdList|Asia,Friday,23,Asia,0
CEO,Ecommerce,enterprise,Referral,mid,0.181,0.338,CEO|Referral|US,Saturday,19,US,0
HR Director,Fintech,enterprise,Inbound,senior,0.752,0.433,HR Director|Inbound|US,Sunday,14,US,0
VP Sales,Fintech,large,Inbound,executive,0.462,0.462,VP Sales|Inbound|Asia,Wednesday,12,Asia,0
Founder,Fintech,large,LinkedIn,executive,0.874,0.572,Founder|LinkedIn|Asia,Friday,3,Asia,0
CEO,AI,enterprise,Inbound,mid,0.831,0.513,CEO|Inbound|Europe,Monday,7,Europe,0
VP Sales,Ecommerce,large,Referral,executive,0.995,0.614,VP Sales|Referral|US,Wednesday,7,US,0
Marketing Manager,Fintech,medium,LinkedIn,senior,0.917,0.487,Marketing Manager|LinkedIn|US,Thursday,22,US,0
CTO,SaaS,large,Referral,mid,0.549,0.438,CTO|Referral|Asia,Saturday,19,Asia,0
CTO,SaaS,medium,Conference,executive,0.063,0.321,CTO|Conference|Asia,Sunday,15,Asia,0
HR Director,Fintech,large,Conference,junior,0.615,0.327,HR Director|Conference|Europe,Tuesday,18,Europe,0
Marketing Manager,SaaS,small,Conference,executive,0.044,0.272,Marketing Manager|Conference|Europe,Thursday,11,Europe,1
CEO,SaaS,large,Referral,junior,0.352,0.415,CEO|Referral|US,Wednesday,20,US,0
VP Sales,Fintech,medium,LinkedIn,executive,0.037,0.341,VP Sales|LinkedIn|US,Tuesday,1,US,0
VP Sales,Ecommerce,enterprise,ColdList,junior,0.753,0.43,VP Sales|ColdList|Europe,Tuesday,9,Europe,0
Marketing Manager,SaaS,large,Conference,executive,0.743,0.448,Marketing Manager|Conference|US,Thursday,10,US,0
Founder,AI,small,Conference,junior,0.431,0.344,Founder|Conference|Asia,Sunday,5,Asia,0
Marketing Manager,AI,enterprise,Inbound,executive,0.167,0.26,Marketing Manager|Inbound|Europe,Thursday,11,Europe,1
VP Sales,AI,small,LinkedIn,executive,0.363,0.374,VP Sales|LinkedIn|Asia,Sunday,23,Asia,0
HR Director,Healthcare,small,Referral,junior,0.236,0.287,HR Director|Referral|Europe,Saturday,11,Europe,0
HR Director,Healthcare,large,ColdList,executive,0.763,0.413,HR Director|ColdList|Asia,Friday,4,Asia,0
CTO,SaaS,medium,Conference,executive,0.914,0.572,CTO|Conference|Europe,Monday,8,Europe,0
HR Director,Healthcare,medium,LinkedIn,mid,0.853,0.414,HR Director|LinkedIn|Asia,Thursday,5,Asia,0
Marketing Manager,AI,small,Inbound,senior,0.891,0.506,Marketing Manager|Inbound|Asia,Sunday,5,Asia,0
Marketing Manager,Ecommerce,medium,LinkedIn,mid,0.792,0.391,Marketing Manager|LinkedIn|US,Tuesday,15,US,0
Founder,Fintech,small,LinkedIn,senior,0.398,0.383,Founder|LinkedIn|Europe,Saturday,23,Europe,0
CTO,Fintech,large,LinkedIn,executive,0.466,0.461,CTO|LinkedIn|US,Friday,11,US,0
CEO,Fintech,enterprise,Inbound,junior,0.831,0.456,CEO|Inbound|Europe,Friday,4,Europe,0
Marketing Manager,Ecommerce,large,LinkedIn,senior,0.196,0.275,Marketing Manager|LinkedIn|US,Friday,8,US,0
